No.overall,No. inseason,Title,Blacklistguide,Directed by,Written by,Original air date,US viewers(millions)
109,20,"""Nicholas T. Moore""",No. 110,"Solvan ""Slick"" Naim",Jon Bokenkamp & Lukas Reiter,"May 2, 2018",5.54[119]
110,21,"""Lawrence Dane Devlin""",No. 26,Bethany Rooney,Carla Kettner & Sean Hennen,"May 9, 2018",4.96[120]
111,22,"""Sutton Ross""",No. 17,Bill Roe,John Eisendrath & Jon Bokenkamp & Lukas Reiter,"May 16, 2018",5.18[121]
112,1,"""Dr. Hans Koehler""",No. 33,Bill Roe,Jon Bokenkamp & John Eisendrath,"January 3, 2019",4.15[122]
113,2,"""The Corsican""",No. 20,Kurt Kuenne,John Eisendrath & Jon Bokenkamp,"January 4, 2019",3.91[123]
114,3,"""The Pharmacist""",No. 124,Daniel Willis,Lukas Reiter,"January 11, 2019",3.66[124]
115,4,"""The Pawnbrokers""",No. 146/147,Lin Oeding,Carla Kettner,"January 18, 2019",4.04[125]
116,5,"""Alter Ego""",No. 131,John Terlesky,Sean Hennen & Lukas Reiter,"February 1, 2019",3.68[126]
117,6,"""The Ethicist""",No. 91,Bill Roe,Taylor Martin,"February 8, 2019",4.24[127]
118,7,"""General Shiro""",No. 116,Kurt Kuenne,Teleplay by : Jonathan Shapiro Story by : Jonathan Shapiro & Lukas Reiter,"February 15, 2019",3.59[128]
119,8,"""Marko Jankowics""",No. 58,Bill Roe,Lukas Reiter,"February 22, 2019",4.34[129]
120,9,"""Minister D""",No. 99,Michael Caracciolo,Noah Schechter & Jonathan Shapiro,"February 22, 2019",3.97[129]
121,10,"""The Cryptobanker""",No. 160,Terrence O'Hara,Kelli Johnson,"March 8, 2019",3.82[130]
122,11,"""Bastien Moreau""",No. 20,Andrew McCarthy,Jon Bokenkamp & John Eisendrath,"March 15, 2019",3.36[131]
123,12,"""Bastien Moreau: Conclusion""",No. 20,Christine Gee,John Eisendrath & Jon Bokenkamp & Lukas Reiter,"March 22, 2019",4.18[132]
124,13,"""Robert Vesco""",No. 9,Adam Weisinger,Michael Perri,"March 29, 2019",4.33[133]
125,14,"""The Osterman Umbrella Company""",No.  6,Bill Roe,Sean Hennen,"March 29, 2019",4.00[133]
126,15,"""Olivia Olson""",No. 115,Stephanie Marquardt,Lukas Reiter,"April 5, 2019",3.62[134]
127,16,"""Lady Luck""",No. 69,Bill Roe,T Cooper & Allison Glock-Cooper,"April 12, 2019",3.57[135]
128,17,"""The Third Estate""",No. 136,Andrew McCarthy,Katie Bockes,"April 19, 2019",4.04[136]
129,18,"""The Brockton College Killer""",No. 92,Lisa Robinson,Sam Christopher,"April 26, 2019",4.09[137]
130,19,"""Rassvet""",N/A,John Terlesky,Sean Hennen,"April 26, 2019",3.95[137]
131,20,"""Guillermo Rizal""",No. 128,Cort Hessler,Noah Schechter,"May 3, 2019",4.34[138]
132,21,"""Anna McMahon""",No. 60,Michael Caracciolo,Taylor Martin & Kelli Johnson,"May 10, 2019",4.03[139]
